Lp.	sepal length A	sepal width B	petal length C	petal width D	class E	sepal length F	sepal width G	petal length H	petal width I	class J	sepal length K	sepal width L	petal length M	petal width N	class O
1	5,1	3,5	1,4	0,2	Iris-setosa	7,0	3,2	4,7	1,4	Iris-versicolor	6,3	3,3	6,0	2,5	Iris-virginica
2	4,9	3,0	1,4	0,2	Iris-setosa	6,4	3,2	4,5	1,5	Iris-versicolor	5,8	2,7	5,1	1,9	Iris-virginica
3	4,7	3,2	1,3	0,2	Iris-setosa	6,9	3,1	4,9	1,5	Iris-versicolor	7,1	3,0	5,9	2,1	Iris-virginica
4	4,6	3,1	1,5	0,2	Iris-setosa	5,5	2,3	4,0	1,3	Iris-versicolor	6,3	2,9	5,6	1,8	Iris-virginica
5	5,0	3,6	1,4	0,2	Iris-setosa	6,5	2,8	4,6	1,5	Iris-versicolor	6,5	3,0	5,8	2,2	Iris-virginica
6	5,4	3,9	1,7	0,4	Iris-setosa	5,7	2,8	4,5	1,3	Iris-versicolor	7,6	3,0	6,6	2,1	Iris-virginica
7	4,6	3,4	1,4	0,3	Iris-setosa	6,3	3,3	4,7	1,6	Iris-versicolor	4,9	2,5	4,5	1,7	Iris-virginica
8	5,0	3,4	1,5	0,2	Iris-setosa	4,9	2,4	3,3	1,0	Iris-versicolor	7,3	2,9	6,3	1,8	Iris-virginica
9	4,4	2,9	1,4	0,2	Iris-setosa	6,6	2,9	4,6	1,3	Iris-versicolor	6,7	2,5	5,8	1,8	Iris-virginica
10	4,9	3,1	1,5	0,1	Iris-setosa	5,2	2,7	3,9	1,4	Iris-versicolor	7,2	3,6	6,1	2,5	Iris-virginica
11	5,4	3,7	1,5	0,2	Iris-setosa	5,0	2,0	3,5	1,0	Iris-versicolor	6,5	3,2	5,1	2,0	Iris-virginica
12	4,8	3,4	1,6	0,2	Iris-setosa	5,9	3,0	4,2	1,5	Iris-versicolor	6,4	2,7	5,3	1,9	Iris-virginica
13	4,8	3,0	1,4	0,1	Iris-setosa	6,0	2,2	4,0	1,0	Iris-versicolor	6,8	3,0	5,5	2,1	Iris-virginica
14	4,3	3,0	1,1	0,1	Iris-setosa	6,1	2,9	4,7	1,4	Iris-versicolor	5,7	2,5	5,0	2,0	Iris-virginica
15	5,8	4,0	1,2	0,2	Iris-setosa	5,6	2,9	3,6	1,3	Iris-versicolor	5,8	2,8	5,1	2,4	Iris-virginica
16	5,7	4,4	1,5	0,4	Iris-setosa	6,7	3,1	4,4	1,4	Iris-versicolor	6,4	3,2	5,3	2,3	Iris-virginica
17	5,4	3,9	1,3	0,4	Iris-setosa	5,6	3,0	4,5	1,5	Iris-versicolor	6,5	3,0	5,5	1,8	Iris-virginica
18	5,1	3,5	1,4	0,3	Iris-setosa	5,8	2,7	4,1	1,0	Iris-versicolor	7,7	3,8	6,7	2,2	Iris-virginica
19	5,7	3,8	1,7	0,3	Iris-setosa	6,2	2,2	4,5	1,5	Iris-versicolor	7,7	2,6	6,9	2,3	Iris-virginica
20	5,1	3,8	1,5	0,3	Iris-setosa	5,6	2,5	3,9	1,1	Iris-versicolor	6,0	2,2	5,0	1,5	Iris-virginica
21	5,4	3,4	1,7	0,2	Iris-setosa	5,9	3,2	4,8	1,8	Iris-versicolor	6,9	3,2	5,7	2,3	Iris-virginica
22	5,1	3,7	1,5	0,4	Iris-setosa	6,1	2,8	4,0	1,3	Iris-versicolor	5,6	2,8	4,9	2,0	Iris-virginica
23	4,6	3,6	1,0	0,2	Iris-setosa	6,3	2,5	4,9	1,5	Iris-versicolor	7,7	2,8	6,7	2,0	Iris-virginica
24	5,1	3,3	1,7	0,5	Iris-setosa	6,1	2,8	4,7	1,2	Iris-versicolor	6,3	2,7	4,9	1,8	Iris-virginica
25	4,8	3,4	1,9	0,2	Iris-setosa	6,4	2,9	4,3	1,3	Iris-versicolor	6,7	3,3	5,7	2,1	Iris-virginica
26	5,0	3,0	1,6	0,2	Iris-setosa	6,6	3,0	4,4	1,4	Iris-versicolor	7,2	3,2	6,0	1,8	Iris-virginica
27	5,0	3,4	1,6	0,4	Iris-setosa	6,8	2,8	4,8	1,4	Iris-versicolor	6,2	2,8	4,8	1,8	Iris-virginica
28	5,2	3,5	1,5	0,2	Iris-setosa	6,7	3,0	5,0	1,7	Iris-versicolor	6,1	3,0	4,9	1,8	Iris-virginica
29	5,2	3,4	1,4	0,2	Iris-setosa	6,0	2,9	4,5	1,5	Iris-versicolor	6,4	2,8	5,6	2,1	Iris-virginica
30	4,7	3,2	1,6	0,2	Iris-setosa	5,7	2,6	3,5	1,0	Iris-versicolor	7,2	3,0	5,8	1,6	Iris-virginica
31	4,8	3,1	1,6	0,2	Iris-setosa	5,5	2,4	3,8	1,1	Iris-versicolor	7,4	2,8	6,1	1,9	Iris-virginica
32	5,4	3,4	1,5	0,4	Iris-setosa	5,5	2,4	3,7	1,0	Iris-versicolor	7,9	3,8	6,4	2,0	Iris-virginica
33	5,2	4,1	1,5	0,1	Iris-setosa	5,8	2,7	3,9	1,2	Iris-versicolor	6,4	2,8	5,6	2,2	Iris-virginica
34	5,5	4,2	1,4	0,2	Iris-setosa	6,0	2,7	5,1	1,6	Iris-versicolor	6,3	2,8	5,1	1,5	Iris-virginica
35	4,9	3,1	1,5	0,1	Iris-setosa	5,4	3,0	4,5	1,5	Iris-versicolor	6,1	2,6	5,6	1,4	Iris-virginica
36	5,0	3,2	1,2	0,2	Iris-setosa	6,0	3,4	4,5	1,6	Iris-versicolor	7,7	3,0	6,1	2,3	Iris-virginica
37	5,5	3,5	1,3	0,2	Iris-setosa	6,7	3,1	4,7	1,5	Iris-versicolor	6,3	3,4	5,6	2,4	Iris-virginica
38	4,9	3,1	1,5	0,1	Iris-setosa	6,3	2,3	4,4	1,3	Iris-versicolor	6,4	3,1	5,5	1,8	Iris-virginica
39	4,4	3,0	1,3	0,2	Iris-setosa	5,6	3,0	4,1	1,3	Iris-versicolor	6,0	3,0	4,8	1,8	Iris-virginica
40	5,1	3,4	1,5	0,2	Iris-setosa	5,5	2,5	4,0	1,3	Iris-versicolor	6,9	3,1	5,4	2,1	Iris-virginica
41	5,0	3,5	1,3	0,3	Iris-setosa	5,5	2,6	4,4	1,2	Iris-versicolor	6,7	3,1	5,6	2,4	Iris-virginica
42	4,5	2,3	1,3	0,3	Iris-setosa	6,1	3,0	4,6	1,4	Iris-versicolor	6,9	3,1	5,1	2,3	Iris-virginica
43	4,4	3,2	1,3	0,2	Iris-setosa	5,8	2,6	4,0	1,2	Iris-versicolor	5,8	2,7	5,1	1,9	Iris-virginica
44	5,0	3,5	1,6	0,6	Iris-setosa	5,0	2,3	3,3	1,0	Iris-versicolor	6,8	3,2	5,9	2,3	Iris-virginica
45	5,1	3,8	1,9	0,4	Iris-setosa	5,6	2,7	4,2	1,3	Iris-versicolor	6,7	3,3	5,7	2,5	Iris-virginica
46	4,8	3,0	1,4	0,3	Iris-setosa	5,7	3,0	4,2	1,2	Iris-versicolor	6,7	3,0	5,2	2,3	Iris-virginica
47	5,1	3,8	1,6	0,2	Iris-setosa	5,7	2,9	4,2	1,3	Iris-versicolor	6,3	2,5	5,0	1,9	Iris-virginica
48	4,6	3,2	1,4	0,2	Iris-setosa	6,2	2,9	4,3	1,3	Iris-versicolor	6,5	3,0	5,2	2,0	Iris-virginica
49	5,3	3,7	1,5	0,2	Iris-setosa	5,1	2,5	3,0	1,1	Iris-versicolor	6,2	3,4	5,4	2,3	Iris-virginica
50	5,0	3,3	1,4	0,2	Iris-setosa	5,7	2,8	4,1	1,3	Iris-versicolor	5,9	3,0	5,1	1,8	Iris-virginica
															
ŒR	5,01	3,42	1,46	0,24		5,94	2,77	4,26	1,33		6,59	2,97	5,55	2,03	
MED.	5,00	3,40	1,50	0,20		5,90	2,80	4,35	1,30		6,50	3,00	5,55	2,00	
OD. ST. POP.	0,35	0,38	0,17	0,11		0,51	0,31	0,47	0,20		0,63	0,32	0,55	0,27	
MAX	5,80	4,40	1,90	0,60		7,00	3,40	5,10	1,80		7,90	3,80	6,90	2,50	
MIN	4,30	2,30	1,00	0,10		4,90	2,00	3,00	1,00		4,90	2,20	4,50	1,40	
